LV_grid,LV_osmid,Nominal_power_kW,Thermal_capacitance_KWh/K,Thermal_conductivity_kW/K,COP,COP_0,COP_1,COP_2,Temperature_profile_name
2703-23_0_4,10,38.79919197999308,92.91666666666666,1.741571879338462,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,18,11.267886745436144,24.75,0.4132124308168601,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,21,21.53277150081776,47.5,0.7930339581333679,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,24,13.882616808599169,30.25,0.5050374154428291,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,25,11.408591216222742,25.166666666666664,0.4201688690461002,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,30,7.690944987313384,18.666666666666664,0.2902018064567502,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,31,9.181241051836857,20.166666666666664,0.3366916102952194,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,33,8.508175311292918,18.75,0.3387349730557895,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,36,16.621788526947043,36.66666666666666,0.6121665641731261,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,42,23.520135915395283,51.25,0.8556419021965285,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,45,13.259654029450935,29.25,0.4883419636926529,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,46,12.00687846972294,26.666666666666668,0.4998233196307692,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,54,27.68217469272937,65.33333333333333,1.015706322598626,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,64,12.620560735090152,27.5,0.4591249231298446,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,66,11.861912721503115,26.166666666666664,0.4368643207962764,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,69,0.3164231,0.4166666666666666,0.0077390342605046,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,70,15.630949587624688,34.666666666666664,0.610392540335864,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,76,12.61826928795492,28.33333333333333,0.5310622771076924,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,78,14.354020711712709,32.166666666666664,0.5370370312973334,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,89,11.98872798504317,26.33333333333333,0.4396468960879724,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,98,16.84492159923787,37.0,0.6177317147565181,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,99,10.821295407016574,24.25,0.4048647049417721,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,100,18.24244688072121,39.75,0.6636442070695027,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,101,47.10703804729448,114.33333333333331,1.7774860645475952,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,105,5.801347221125226,13.0,0.24366386832,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,108,9.143302039225963,20.08333333333333,0.3353003226493713,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,111,8.73505998626073,19.25,0.3477679056706106,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,119,13.471253178950212,30.166666666666664,0.5036461277969809,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,122,15.896848711235515,37.25,0.5791080691346757,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,123,14.834153930860378,32.58333333333333,0.5439934695265735,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,126,41.20176769543317,90.5,1.510938383390943,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,130,15.927459455286204,35.33333333333333,0.6182278404151873,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,144,16.449138935166307,36.25,0.6548876145745265,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,145,0.3164231,0.4166666666666666,0.0049897583482721,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,148,12.801411860659869,28.666666666666664,0.4786029501717168,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,149,13.74683356425722,29.916666666666668,0.499472264859437,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,150,10.54704550582912,23.166666666666664,0.3867779655457479,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,153,11.698126883268827,25.416666666666668,0.4243427319836442,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,154,8.650094875284314,19.0,0.3172135832533471,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,155,10.87971612672897,24.0,0.4006908420042279,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,156,15.564038347959505,34.33333333333333,0.5732105100893817,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,157,0.3164231,0.4166666666666666,0.00695643822924,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,159,17.62717040264973,39.5,0.7336604478958434,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,164,0.3164231,0.4166666666666666,0.00695643822924,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,166,26.292647306261685,58.0,0.9683362015102178,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,167,9.633081987207945,21.25,0.3547783496912435,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,176,12.783004714752606,28.25,0.5239239268309526,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,178,6.582025041381216,14.75,0.2462579133150984,3.49,5.6,-0.09,0.0005,BAS
